Unnamed: 0,neighbourhood_group_cleansed,neighbourhood_cleansed,median_price,mean_price,listings,Latitude,Longitude
18,Bronx,Hunts Point,53.0,67.44,16,40.8126008,-73.8840247
192,Staten Island,Grant City,53.0,85.67,9,40.5820492,-74.1048641
8,Bronx,Co-op City,55.5,57.0,6,40.8740452,-73.829449
55,Brooklyn,Borough Park,56.0,81.0,28,40.633993,-73.9968059
109,Manhattan,Inwood,57.0,97.81,88,40.867,-73.922
179,Queens,Woodside,58.0,86.62,139,40.7453798,-73.9054145
220,Staten Island,Woodrow,58.5,58.5,2,40.5434385,-74.1976441
145,Queens,Elmhurst,59.0,74.89,123,40.7365804,-73.8783932
3,Bronx,Bronxdale,61.0,72.91,11,40.8506558,-73.8665241
23,Bronx,Morris Park,61.0,107.44,34,40.8545235,-73.8602968
17,Bronx,Highbridge,61.5,70.19,16,40.837,-73.929
154,Queens,Jackson Heights,62.0,78.5,107,40.7556561,-73.8857755
201,Staten Island,New Dorp Beach,65.0,77.0,3,40.564356,-74.1048624
158,Queens,Kew Gardens,65.0,96.61,23,40.7139415,-73.830742
20,Bronx,Longwood,65.0,95.17,29,40.8173,-73.8993
133,Queens,Bayswater,66.0,80.5,6,40.6102778,-73.7672222
16,Bronx,Fordham,66.5,87.3,30,40.8614754,-73.8905439
14,Bronx,Edenwald,70.0,75.3,23,40.8859786,-73.8450033
156,Queens,Jamaica Estates,70.0,121.67,15,40.7133455,-73.782511
184,Staten Island,"Chelsea, Staten Island",70.0,70.0,1,40.6006596,-74.1948665
140,Queens,Corona,70.5,100.64,50,40.7469593,-73.8601456
198,Staten Island,Mariners Harbor,72.0,85.39,23,40.6369592,-74.1591212
6,Bronx,Claremont Village,72.5,114.46,48,40.8408,-73.9075
178,Queens,Woodhaven,74.0,86.14,70,40.6892698,-73.8579131
161,Queens,Little Neck,76.0,109.8,5,40.7745338,-73.7412564
127,Manhattan,Washington Heights,76.0,113.96,289,40.8402304,-73.9400204
19,Bronx,Kingsbridge,77.5,96.47,36,40.8788854,-73.9045978
163,Queens,Maspeth,78.0,103.76,63,40.723158,-73.912637
67,Brooklyn,Cypress Hills,79.0,108.89,137,40.6770477,-73.8912474
214,Staten Island,Todt Hill,79.5,82.75,4,40.6010083,-74.1150363
27,Bronx,Mount Hope,80.0,94.75,28,40.8503,-73.9092
82,Brooklyn,Manhattan Beach,80.0,91.4,5,40.5779176,-73.9440833
217,Staten Island,West Brighton,80.0,84.23,22,40.635,-74.112
137,Queens,Briarwood,80.0,139.52,29,40.7092563,-73.8201394
208,Staten Island,Rossville,81.0,81.33,3,40.5520029,-74.211993
36,Bronx,Schuylerville,82.0,94.47,15,40.835,-73.833
15,Bronx,Fieldston,82.5,204.75,8,40.8944444,-73.9033333
186,Staten Island,Concord,84.0,131.75,4,40.6082,-74.0843
0,Bronx,Allerton,84.0,118.71,35,40.8654299,-73.8673652
170,Queens,Ridgewood,84.0,119.45,208,40.7080556,-73.9141667
1,Bronx,Baychester,85.0,99.36,11,40.8671734,-73.8360372
147,Queens,Flushing,85.0,106.45,297,40.7654301,-73.8174291
83,Brooklyn,Midwood,85.5,120.42,40,40.6188823,-73.9654889
81,Brooklyn,Kensington,86.0,120.36,47,40.6385,-73.9732
211,Staten Island,South Beach,86.0,91.56,9,40.5903825,-74.0668076
22,Bronx,Morris Heights,86.0,97.36,11,40.8498261,-73.9201914
24,Bronx,Morrisania,87.0,86.5,8,40.8292672,-73.9065253
56,Brooklyn,Brighton Beach,87.5,119.05,42,40.5796437,-73.9611102
50,Brooklyn,Bay Ridge,88.0,104.03,64,40.6320062,-74.0232101
213,Staten Island,Stapleton,89.0,124.79,14,40.6264774,-74.0776361
44,Bronx,Wakefield,89.0,99.32,59,40.9061974,-73.8555114
130,Queens,Astoria,89.0,112.79,290,40.7720145,-73.9302673
207,Staten Island,Rosebank,89.0,80.5,6,40.6139932,-74.0662521
169,Queens,Richmond Hill,89.0,108.92,71,40.6994253,-73.8309672
168,Queens,Rego Park,89.0,109.28,39,40.722865,-73.8621025
37,Bronx,Soundview,90.0,111.45,11,40.8153759,-73.8711061
65,Brooklyn,Coney Island,90.0,115.79,19,40.5756208,-73.9813318
2,Bronx,Belmont,90.0,103.0,22,40.855,-73.886
215,Staten Island,Tompkinsville,90.0,120.68,38,40.636479,-74.0854432
58,Brooklyn,Brownsville,90.0,131.82,62,40.665306,-73.9124755
47,Bronx,Williamsbridge,91.0,91.05,38,40.8776242,-73.8775201
21,Bronx,Melrose,91.0,105.47,17,40.8256703,-73.9152416
113,Manhattan,Marble Hill,92.0,100.8,5,40.8762983,-73.9104292
204,Staten Island,Port Richmond,92.0,91.09,11,40.6333536,-74.1367256
151,Queens,Hollis,92.5,86.83,12,40.7134361,-73.7670772
141,Queens,Ditmars Steinway,93.0,106.22,114,40.7731048,-73.9062804
180,Staten Island,Arden Heights,94.0,78.0,3,40.5636999,-74.1916032
191,Staten Island,Graniteville,94.0,97.8,5,40.6250747,-74.1487418
166,Queens,Ozone Park,94.0,104.23,64,40.67677,-73.8437461
10,Bronx,Concourse Village,94.5,114.58,26,40.8238681,-73.9211809
7,Bronx,Clason Point,95.0,110.03,33,40.8147164,-73.8599648
193,Staten Island,Great Kills,95.0,91.6,5,40.5542718,-74.1515318
59,Brooklyn,Bushwick,95.0,116.04,755,40.6943488,-73.9185088
52,Brooklyn,Bensonhurst,95.0,104.73,26,40.6049772,-73.9934061
26,Bronx,Mount Eden,95.0,95.4,5,40.8443436,-73.9147452
150,Queens,Glendale,96.0,117.75,53,40.7014917,-73.8868028
71,Brooklyn,East Flatbush,97.0,127.55,396,40.6537148,-73.9304151
177,Queens,Whitestone,97.5,103.29,14,40.7888409,-73.813779
70,Brooklyn,Dyker Heights,98.0,110.78,9,40.6205319,-74.0119826
143,Queens,East Elmhurst,98.0,116.98,131,40.7612123,-73.8651358
93,Brooklyn,Sunset Park,98.5,127.51,158,40.6442221,-74.0075907
210,Staten Island,Silver Lake,99.0,118.0,4,40.6212,-74.092
9,Bronx,Concourse,99.0,108.35,31,40.827,-73.923
31,Bronx,Parkchester,99.0,108.87,15,40.8332047,-73.8609723
176,Queens,Sunnyside,99.0,116.03,132,40.7398242,-73.9354153
175,Queens,St. Albans,99.0,115.49,111,40.6912611,-73.7655652
209,Staten Island,Shore Acres,100.0,94.0,9,40.6058,-74.0667
39,Bronx,Throgs Neck,100.0,119.74,31,40.823,-73.82
29,Bronx,Norwood,100.0,96.52,25,40.878,-73.878
167,Queens,Queens Village,101.0,124.62,61,40.7267692,-73.7415208
155,Queens,Jamaica,101.0,122.67,219,40.7017931,-73.807868
188,Staten Island,Eltingville,102.0,102.0,2,40.5453831,-74.1656988
90,Brooklyn,Sea Gate,102.0,122.8,15,40.576739,-74.0055438
76,Brooklyn,Fort Hamilton,103.5,106.47,66,40.6087998,-74.0295691
212,Staten Island,St. George,104.0,119.88,33,40.6439626,-74.0734416
182,Staten Island,Bull's Head,104.0,149.38,8,40.6043,-74.1575
115,Manhattan,Morningside Heights,105.0,113.08,63,40.81,-73.9625
216,Staten Island,Tottenville,105.0,130.4,5,40.5091033,-74.2470693
